timestamp,none:startupDurationMs,splunk-otel:startupDurationMs,profiler:startupDurationMs,none:minHeapUsed,splunk-otel:minHeapUsed,profiler:minHeapUsed,none:maxHeapUsed,splunk-otel:maxHeapUsed,profiler:maxHeapUsed,none:totalAllocatedMB,splunk-otel:totalAllocatedMB,profiler:totalAllocatedMB,none:totalGCTime,splunk-otel:totalGCTime,profiler:totalGCTime,none:maxThreadContextSwitchRate,splunk-otel:maxThreadContextSwitchRate,profiler:maxThreadContextSwitchRate,none:iterationAvg,splunk-otel:iterationAvg,profiler:iterationAvg,none:iterationP95,splunk-otel:iterationP95,profiler:iterationP95,none:requestAvg,splunk-otel:requestAvg,profiler:requestAvg,none:requestP95,splunk-otel:requestP95,profiler:requestP95,none:netReadAvg,splunk-otel:netReadAvg,profiler:netReadAvg,none:netWriteAvg,splunk-otel:netWriteAvg,profiler:netWriteAvg,none:peakThreadCount,splunk-otel:peakThreadCount,profiler:peakThreadCount,none:averageCpuUser,splunk-otel:averageCpuUser,profiler:averageCpuUser,none:maxCpuUser,splunk-otel:maxCpuUser,profiler:maxCpuUser,none:averageCpuSystem,splunk-otel:averageCpuSystem,profiler:averageCpuSystem,none:maxCpuSystem,splunk-otel:maxCpuSystem,profiler:maxCpuSystem,none:averageMachineCpuTotal,splunk-otel:averageMachineCpuTotal,profiler:averageMachineCpuTotal,none:runDurationMs,splunk-otel:runDurationMs,profiler:runDurationMs,none:gcPauseMs,splunk-otel:gcPauseMs,profiler:gcPauseMs,none:throughputAvg,splunk-otel:throughputAvg,profiler:throughputAvg
1647452108,20692,22741,22820,88340320,111650720,117022720,337677872,400031744,632815616,58431.26755523682,146663.5654296875,675412.097076416,2805225010,3358330762,6573598848,34998.402,45991.02,63635.938,606.4422682252944,617.0507578682317,671.6870683929375,703.39216425,760.40576095,901.9126631999995,11.394556949320243,19.152144417457457,32.42290618881086,46.532463449999995,78.98093534999991,130.19337989999977,9642244,9852305,9116294,13118152,53005329,53227945,87,101,115,0.33108208,0.4013951,0.471336,0.5949367,0.56390977,0.56763285,0.16174637,0.20642318,0.24888073,0.21914357,0.24937028,0.29339853,0.7119739,0.8287109,0.9397619,175661,178586,193760,2875,3438,7540,889.7160800182519,874.58273373177,803.3888460129278
1647452964,14841,22856,22918,87945696,109703168,120933888,383445280,407651904,643301376,61762.20445251465,144319.71144104004,670905.3565826416,2892293811,3849936338,6670420991,37183.49,43691.723,63705.945,605.0889369871743,622.0744178667043,681.0063928685906,696.1879240999999,774.6578981999999,927.3310431,11.005123659183003,20.484833029124214,35.118047814790536,46.738588049999976,84.19266645,136.58560149999994,9669093,9721290,9078397,13135368,52283845,53058922,90,92,106,0.31709862,0.40253553,0.479413,0.58481014,0.5721519,0.57788944,0.16155557,0.20646922,0.24894303,0.20551379,0.25685784,0.2982456,0.6982743,0.8251484,0.9538144,175705,181632,196784,2953,3941,7535,891.73166991573,867.2857992270975,792.3178161913316
1647453823,13933,21778,22780,90000880,110103248,108564952,564555264,393649664,715621888,60530.5991897583,138500.24909973145,651412.4677658081,3347898510,3378839065,6355174776,35707.105,42876.074,56616.152,604.42094895259,620.9118142343516,663.0760059209416,688.4972172,772.3204315999999,893.3218069999999,10.936732087581767,20.27281047934634,30.870764832496924,44.46017709999977,84.24954659999986,124.19694724999975,9712940,9766173,9293733,13172198,52495916,53894504,91,96,100,0.32009834,0.40625703,0.45436427,0.57360405,0.5522388,0.56109726,0.16275428,0.20886321,0.25050843,0.21975309,0.25188917,0.29040405,0.7057256,0.83473265,0.9275592,174782,179600,191621,3416,3458,6781,892.713428175202,868.8318598144301,813.6910751999908
1647454680,14824,21833,22914,88257104,111768096,127020032,336962592,391048192,593544704,60294.23114776611,135921.63111114502,679369.2043457031,2795070693,3406170289,6640763084,36149.496,49977.363,52186.62,604.9053284752941,622.8091068611758,662.9548151258846,697.4252650999998,787.38561435,874.1679773999999,10.809306009169827,20.973012590202583,30.582599592836427,45.3946045499999,85.73490309999998,125.1155483,9763896,9675184,9189121,13289155,51983202,53427592,81,100,106,0.31511152,0.40690702,0.452579,0.5743073,0.58064514,0.57107234,0.16352673,0.20619999,0.24956343,0.20698254,0.25970873,0.30445546,0.6976256,0.83379465,0.9241723,174780,180569,191609,2870,3490,7111,891.9709246140576,866.2861761066376,813.8435353933199
1647455534,14818,22573,22875,87735408,111782400,119231488,506169440,449306112,657316864,61814.259017944336,138372.42515563965,665256.2735214233,3358904858,3155811904,6669284271,36145.996,41915.2,59320.727,604.0641029650608,619.6573318858825,671.7839623211757,693.3698213499999,772.45309135,901.9711209499998,11.01739293216357,19.84451477856876,32.82037691927471,46.243653199999954,82.34724609999982,129.0443948,9753608,9841966,9143544,13256706,52859232,53312120,87,95,102,0.31807,0.39576072,0.4664826,0.5625,0.55288464,0.556391,0.16283795,0.20916198,0.24798545,0.20356233,0.28960395,0.29950494,0.70147747,0.8258094,0.93646246,174659,179602,194544,3435,3218,7210,893.1309160447537,870.6093665178041,803.2567000075106
1647456387,14776,22696,22876,90704192,107642880,121571328,387477672,391272960,618135552,61374.52653503418,141545.09993743896,619592.3888931274,3038014016,3406635612,6625429389,35409.41,39569.574,61442.957,607.171445181645,621.0435132074131,658.6224312794138,704.55230565,777.27345435,876.3677295499999,12.232668899921624,20.109168737647263,30.038237495345342,50.84176739999998,83.43135209999987,123.60910864999992,9627420,9729142,9278141,13105524,52475788,53943103,84,97,111,0.32082337,0.39683482,0.45271456,0.5682382,0.5707196,0.56563246,0.16199934,0.20740017,0.2483064,0.21782178,0.253886,0.30295566,0.73715585,0.82218343,0.92107373,175698,179594,190554,3099,3503,7437,888.5599024668513,868.8101456680002,819.1333642178206
1647457248,14716,22585,22886,93369472,109658112,120973312,326631416,499046480,681345024,61561.04991149902,134471.44081115723,660614.2048721313,2414625914,4096948561,6845429917,39291.793,42394.344,66199.82,606.558805791058,622.793793970469,676.9899972615278,714.3686673,784.8180142,917.9682790999999,11.092124856045668,20.198075006783885,34.74952961961424,45.885574399999896,84.91756264999987,134.68570494999994,9745245,9717783,9178272,13236256,52150097,53644994,91,100,98,0.318917,0.3971573,0.4745511,0.5875,0.5696822,0.57457215,0.15981224,0.20968358,0.2494616,0.20854272,0.25685784,0.30456853,0.70008093,0.82419544,0.948281,175742,180600,195581,2474,4218,7623,889.450400029682,866.2765621025336,796.9674145938792
1647458108,14788,21728,23836,88191280,114350272,118489088,401418808,387732480,629788696,59015.41335296631,142079.7359085083,706830.6030807495,2963919916,3350481647,7052071772,34643.215,48673.89,66260.6,604.8325405568243,618.6346318934123,682.0958561342339,702.6771071999999,767.6298787999999,925.4523052,11.398041166143848,19.921443126941256,35.18644775296095,46.83727454999994,81.73977085,137.71871264999982,9772002,9830933,9093285,13281404,52782922,53044378,86,96,107,0.3277643,0.40648806,0.48016477,0.6020408,0.5538847,0.6057692,0.16215879,0.21185412,0.24991384,0.21287128,0.26302728,0.31282052,0.7126203,0.83985496,0.9528416,174833,178732,196830,3036,3445,7909,892.0572482151285,872.1711983207098,791.0047093063172
1647458963,14016,22761,22829,92609088,112512272,117902488,326579200,389054968,635063808,87766.05027008057,136117.10441589355,656358.0704116821,2553776140,3281062020,6884886377,40655.047,46540.66,57115.69,605.8433992316474,617.8172774782331,679.363683020356,707.5421436999999,766.6433334999999,915.6204088999999,11.53937008973186,19.702393015320435,34.16622210190792,46.84805414999995,82.19537849999999,133.09442449999992,9725380,9688771,9047094,13189831,52140698,53158414,93,108,107,0.3260332,0.40122846,0.47171944,0.5750636,0.56857854,0.5555556,0.16474628,0.2097506,0.24795254,0.22660099,0.2617284,0.29339853,0.71129113,0.831595,0.9436838,175652,178763,196654,2618,3399,7828,890.3812292362962,873.2148230968639,794.0903320206404
1647459810,14005,22652,23584,93858976,112197632,121371136,380845168,386056192,645670960,86762.15801239014,132378.80337524414,671092.2723770142,3062328355,3280648809,6871587615,38326.008,58102.215,55178.277,606.7386512630595,619.3465438350589,665.5337193974086,711.3872214999997,769.7443758999999,887.8887357,11.782119874130709,20.074613258947615,31.18777350350999,49.189540249999936,82.98608659999971,127.19397489999943,9743038,9787684,9177581,13227450,52701309,53684305,94,97,108,0.3275773,0.39605302,0.462973,0.57468355,0.5566502,0.57212716,0.16173725,0.20947947,0.24765834,0.20487805,0.26566416,0.29187816,0.71035844,0.8263289,0.93209404,175717,179603,192600,3135,3363,7945,889.2486362600145,871.3861579981377,810.7651842374244
