timestamp,cpu:text:startupDurationMs,cpu:pprof:startupDurationMs,cpu:text+mem:pprof:startupDurationMs,cpu+mem:pprof:startupDurationMs,cpu:text:minHeapUsed,cpu:pprof:minHeapUsed,cpu:text+mem:pprof:minHeapUsed,cpu+mem:pprof:minHeapUsed,cpu:text:maxHeapUsed,cpu:pprof:maxHeapUsed,cpu:text+mem:pprof:maxHeapUsed,cpu+mem:pprof:maxHeapUsed,cpu:text:totalAllocatedMB,cpu:pprof:totalAllocatedMB,cpu:text+mem:pprof:totalAllocatedMB,cpu+mem:pprof:totalAllocatedMB,cpu:text:totalGCTime,cpu:pprof:totalGCTime,cpu:text+mem:pprof:totalGCTime,cpu+mem:pprof:totalGCTime,cpu:text:maxThreadContextSwitchRate,cpu:pprof:maxThreadContextSwitchRate,cpu:text+mem:pprof:maxThreadContextSwitchRate,cpu+mem:pprof:maxThreadContextSwitchRate,cpu:text:iterationAvg,cpu:pprof:iterationAvg,cpu:text+mem:pprof:iterationAvg,cpu+mem:pprof:iterationAvg,cpu:text:iterationP95,cpu:pprof:iterationP95,cpu:text+mem:pprof:iterationP95,cpu+mem:pprof:iterationP95,cpu:text:requestAvg,cpu:pprof:requestAvg,cpu:text+mem:pprof:requestAvg,cpu+mem:pprof:requestAvg,cpu:text:requestP95,cpu:pprof:requestP95,cpu:text+mem:pprof:requestP95,cpu+mem:pprof:requestP95,cpu:text:netReadAvg,cpu:pprof:netReadAvg,cpu:text+mem:pprof:netReadAvg,cpu+mem:pprof:netReadAvg,cpu:text:netWriteAvg,cpu:pprof:netWriteAvg,cpu:text+mem:pprof:netWriteAvg,cpu+mem:pprof:netWriteAvg,cpu:text:peakThreadCount,cpu:pprof:peakThreadCount,cpu:text+mem:pprof:peakThreadCount,cpu+mem:pprof:peakThreadCount,cpu:text:averageCpuUser,cpu:pprof:averageCpuUser,cpu:text+mem:pprof:averageCpuUser,cpu+mem:pprof:averageCpuUser,cpu:text:maxCpuUser,cpu:pprof:maxCpuUser,cpu:text+mem:pprof:maxCpuUser,cpu+mem:pprof:maxCpuUser,cpu:text:averageCpuSystem,cpu:pprof:averageCpuSystem,cpu:text+mem:pprof:averageCpuSystem,cpu+mem:pprof:averageCpuSystem,cpu:text:maxCpuSystem,cpu:pprof:maxCpuSystem,cpu:text+mem:pprof:maxCpuSystem,cpu+mem:pprof:maxCpuSystem,cpu:text:averageMachineCpuTotal,cpu:pprof:averageMachineCpuTotal,cpu:text+mem:pprof:averageMachineCpuTotal,cpu+mem:pprof:averageMachineCpuTotal,cpu:text:runDurationMs,cpu:pprof:runDurationMs,cpu:text+mem:pprof:runDurationMs,cpu+mem:pprof:runDurationMs,cpu:text:gcPauseMs,cpu:pprof:gcPauseMs,cpu:text+mem:pprof:gcPauseMs,cpu+mem:pprof:gcPauseMs,cpu:text:throughputAvg,cpu:pprof:throughputAvg,cpu:text+mem:pprof:throughputAvg,cpu+mem:pprof:throughputAvg
1652830706,28329,21724,22795,22624,57176224,60283904,151941424,283138560,216087408,261559296,408153472,1125145088,11896.497871398926,12505.767364501953,25783.025718688965,34863.68671417236,380541125,378453380,690669337,146428398,27116.43,31725.285,28837.967,28545.137,67.37924040776487,67.6051756958824,68.22660291941162,66.78301885952902,99.19043214999998,96.218526,101.18109049999994,91.15299239999999,12.928779071882303,12.212867980705866,13.847305600823509,11.042128764705875,39.19271949999995,35.6270346,42.36928139999998,32.19265279999999,3287128,3020262,3277718,3471804,42665624,38912094,42468032,45260498,66,64,67,66,0.48542804,0.4660576,0.4942163,0.4938467,0.5873418,0.5879397,0.6111111,0.5822785,0.10424171,0.101011895,0.106320456,0.10428416,0.14962594,0.14567901,0.1575,0.1378446,0.88277835,0.850433,0.86984104,0.88111305,23190,23119,23152,22525,380,378,715,146,878.7438098907608,875.1478402111111,866.9979375584292,886.374841933348
1652831179,23606,22764,22781,22645,62088192,61801952,217693448,108281808,246457504,226891296,771705680,400412032,14539.173370361328,12404.166297912598,30281.717124938965,26825.37296295166,370048854,494885081,262382991,460383386,23496.303,22848.605,25312.125,23026.076,67.15105122011727,67.41640251258848,67.5795404234116,67.0881138047057,94.95573389999997,98.35573585,96.73500179999999,93.769573,12.067014852470614,13.32241919276472,13.36500926129417,11.521285001823605,36.620453899999966,38.84047855,38.25113459999999,33.09092109999998,3340672,3213721,3126902,3230470,43064652,41771094,41132225,41912302,69,66,68,65,0.48406285,0.47907743,0.5081393,0.47147524,0.56313133,0.60150373,0.5989975,0.60353535,0.105170734,0.106061704,0.10430116,0.09734552,0.14039409,0.15317287,0.14,0.15012723,0.886092,0.87742156,0.89399284,0.8313062,23198,23191,23151,24766,370,494,262,460,882.0750237995554,877.6621146394634,875.8623713473185,882.3192175926508
1652831652,22593,21705,22783,22732,60766864,61530624,142484480,270842368,255678464,255610208,510829840,760527360,11994.616027832031,12155.428810119629,37624.537857055664,32635.936378479004,384018486,349502875,609149841,293084397,29149.635,22381.69,23340.293,22142.557,67.63053442800009,67.55913835835311,67.61621579023507,67.31046280223515,98.26142724999981,98.25011074999999,97.90693544999999,97.3166304,12.876580975176505,12.831228650470653,13.501785252999923,13.309525402058826,38.547559749999984,38.336356549999984,38.080026849999996,37.16916724999998,3223758,3220633,3167510,3220056,42873950,41894435,41389785,41901436,69,68,65,65,0.45665368,0.4624686,0.48544332,0.5102235,0.5749386,0.5885287,0.6155779,0.61442786,0.10075422,0.09992568,0.103250295,0.10316337,0.14356436,0.13466334,0.14285715,0.1446384,0.8473719,0.84820265,0.85383195,0.8947365,23192,23778,24258,23236,384,349,629,293,875.1625396592035,876.0979355312336,875.9422695521117,878.8483893543101
1652832136,22680,22737,23760,23757,59846048,61681152,274789888,152534528,269256192,258528080,1108407808,726791680,12021.11555480957,11608.261947631836,34488.54725646973,35914.20838165283,371426970,381823548,354324221,361310684,23690.072,26301.848,27405.217,22768.086,68.11878167635282,67.87802291529421,68.05943662223486,67.91565091529401,104.49900999999998,102.96323229999997,102.10944994999996,99.42351779999998,14.66866299364709,14.437657228705854,13.400084980470597,14.086971474705893,43.66735309999998,43.4932057,39.88664979999999,41.4579847,3224680,3452824,3223758,3075256,42606686,44426836,42703176,40021769,67,67,69,70,0.47584864,0.4712941,0.45522794,0.48195258,0.5970149,0.59381896,0.5925926,0.6,0.0980564,0.09632185,0.09349923,0.10214057,0.13853905,0.13625304,0.14215687,0.14214464,0.8722604,0.85174865,0.7964775,0.855689,23215,23160,25598,24195,371,381,354,405,867.3616731704394,871.9404089782704,869.1638881015645,871.1849848965874
1652832612,23610,22844,22667,22612,62739456,61692064,192947480,167069376,247056384,251523728,696992912,489949184,11516.791442871094,11959.11489868164,36058.55604553223,35631.854064941406,290693874,393375401,245722889,469548988,24703.08,25486.463,22501.299,26532.82,67.49858873023511,67.8984066210588,66.68421311388214,67.5495855469413,103.74889864999999,99.41118244999991,92.91884479999997,99.66082375,14.420122808705944,13.095263060000027,11.866771420235297,13.344930228941134,41.80620694999997,39.62198149999998,33.511123649999995,38.99083114999999,3502754,3023720,3407780,3106811,46007432,39270652,44204060,40381556,68,67,67,67,0.4703295,0.46115884,0.4787141,0.51441324,0.6004963,0.5875,0.57974684,0.63309354,0.09597254,0.099837944,0.10558281,0.109749444,0.1414392,0.14285715,0.14141414,0.15113351,0.8592197,0.8506294,0.8597705,0.90327495,23212,23166,23260,23334,290,393,245,469,874.8204004202918,871.2057182130948,887.1226723638337,873.8234590494135
1652833082,23830,21771,22568,23239,61250576,60879232,144444928,113778688,243476992,256722504,566792032,401612800,12029.731323242188,14921.087013244629,26432.304985046387,29152.443740844727,359925839,283232908,425747936,571973099,24893.082,23576.623,22901.998,26629.984,67.66563155835316,67.26995881788241,67.74094495505882,67.82472972200016,100.1928578,96.68140239999998,99.55249405,96.28134679999998,13.758982115941183,12.822034255117591,13.84586698964711,13.394149936882267,39.75392544999997,37.99106589999998,39.98977585,38.76504135,3213598,3123300,3242456,3215252,42379363,40824958,41866171,41903320,68,69,67,67,0.4807047,0.4713073,0.50694674,0.51112,0.5901235,0.5657568,0.7307692,0.5990099,0.102860354,0.099072196,0.09834999,0.1021842,0.13819095,0.13959391,0.13793103,0.16284987,0.8783211,0.85284513,0.88759404,0.88832074,23237,24164,23223,23351,359,283,450,594,874.7108207505889,880.7766244404346,874.4635818172504,872.7396927147754
1652833560,22731,21899,22622,22865,60611072,59098112,77435816,139465744,278714880,258290352,378102272,502198784,12279.55281829834,14923.536727905273,24430.60612487793,26020.939628601074,386033578,294598449,337466953,596131531,22790.926,23343.725,25581.035,22166.35,67.48443981176477,67.1005037327058,66.68356912905891,67.27575426329425,96.35955684999992,95.30275814999999,92.16097524999999,95.9991465,11.87936820435294,12.711840153941143,11.677583246529307,12.60753949423541,37.09394474999999,36.81082299999999,33.746763849999994,34.734930999999996,3203760,3396672,3437232,3390108,42466158,43637172,44397726,44034112,67,63,67,69,0.46072105,0.50325876,0.49725378,0.50987166,0.58897245,0.6298077,0.5735661,0.60902256,0.1009967,0.10394749,0.10685999,0.11030283,0.13451776,0.1375,0.13602015,0.15085158,0.8380296,0.897022,0.8872397,0.90059966,24227,23160,22575,23126,386,294,337,641,876.4029365477091,882.9639771947132,886.7691305500987,877.8114823117913
1652834037,23692,22650,23859,22887,62713760,62023168,136957952,154509312,245601280,224871424,515493888,546676736,12093.967163085938,14752.287200927734,30268.48480987549,33091.37496948242,405437214,449723381,422736947,510915246,24516.078,22577.922,29483.91,23121.543,67.67858233694119,67.2924128502352,67.74744393258834,67.26987298964687,101.23301694999994,96.64115889999998,97.53235439999997,96.53524799999995,14.12549254529418,12.36807477141176,13.08667800647059,12.834298243705883,41.510177999999996,36.55391289999999,38.851153299999986,36.623779049999996,3151184,3220338,3213166,3207412,41715736,41758310,42518460,42014374,70,66,67,71,0.4406835,0.47883245,0.51276785,0.51966035,0.58866996,0.5843829,0.63438255,0.5960591,0.091865934,0.098608315,0.1080021,0.107178025,0.13015184,0.15061729,0.1528822,0.14888337,0.80736804,0.86547744,0.9063717,0.9064564,24513,23151,23380,23390,405,449,422,510,874.7003183579448,878.9879355081738,874.3435403047696,879.3041502511311
1652834509,22620,21775,23934,23801,60286160,60576768,344747512,139385856,237059136,263592704,896298488,460896256,14580.741348266602,14879.909706115723,37394.979751586914,31833.532737731934,348458743,328278743,250528931,437191003,22665.068,23431.168,22957.756,29040.77,67.16445269282384,66.94893030564697,67.0905138632943,67.87736266423518,96.9650559,93.86713759999999,94.25502684999998,100.05020949999998,13.147463490411837,11.939120869294012,11.826907436705904,14.089252551941271,37.74956264999999,35.439223999999996,34.241680399999986,41.75926655,3390580,3489954,3180088,3203580,44294530,45422514,42024121,41583761,69,66,67,66,0.46973726,0.47670546,0.48151836,0.50053,0.5822785,0.6225,0.5888325,0.60148513,0.09688108,0.10412536,0.09885923,0.10971859,0.13164558,0.14720812,0.1482412,0.13853905,0.8520891,0.86301744,0.8642639,0.88943505,23313,23143,23215,23156,348,328,250,437,880.2617697513589,884.1004970013537,882.0124794152633,871.144117757355
1652834981,23550,22680,22801,22700,62395296,60067840,169613312,180142592,256342064,260743680,504109056,618228040,11909.610458374023,12367.503746032715,27181.72304534912,26603.764274597168,386971470,426634611,428547757,264714569,22124.412,22284.629,22750.549,24070.865,68.23707057988229,67.76171324788248,67.6663902509412,67.01674004082386,102.73292679999999,98.80168375,96.07268365,94.47105824999998,14.21505617694119,12.147332750588252,12.36968646394125,11.990295014411773,42.093080900000004,36.490257499999984,35.9934377,35.52920614999999,3117260,3224692,3205412,3172772,41455628,41863446,41904740,41056065,69,65,71,67,0.48673517,0.48971912,0.50516284,0.5062961,0.58312654,0.5930521,0.60493827,0.6327543,0.105668806,0.101683974,0.10611487,0.10823903,0.1475827,0.13520408,0.14786968,0.15461347,0.8889021,0.8847513,0.8941569,0.89620763,23169,23131,23138,23173,386,426,428,264,867.3555356849595,872.9678439471401,874.7973051225782,883.3535080994774
