----------------------------------------------------------
 Run at Wed May 18 00:49:41 UTC 2022
 release_30vu_8500iter : multiple agent configurations compared
 30 users, 8500 iterations
----------------------------------------------------------
Agent               :          cpu:text        cpu:pprofcpu:text+mem:pprof    cpu+mem:pprof
Run duration        :          00:00:23         00:00:23         00:00:23         00:00:23
Avg. CPU (user)     :        0.48673517       0.48971912       0.50516284        0.5062961
Max. CPU (user)     :        0.58312654        0.5930521       0.60493827        0.6327543
Avg. CPU (system)   :       0.105668806      0.101683974       0.10611487       0.10823903
Max. CPU (system)   :         0.1475827       0.13520408       0.14786968       0.15461347
Avg. mch tot cpu    :         0.8889021        0.8847513        0.8941569       0.89620763
Startup time (ms)   :             23550            22680            22801            22700
Total allocated MB  :          11909.61         12367.50         27181.72         26603.76
Heap (min)          :          62395296         60067840        169613312        180142592
Heap (max)          :         256342064        260743680        504109056        618228040
Thread switch rate  :         22124.412        22284.629        22750.549        24070.865
GC time             :         386971470        426634611        428547757        264714569
GC pause time       :               386              426              428              264
Req. mean           :             14.22            12.15            12.37            11.99
Req. p95            :             42.09            36.49            35.99            35.53
Iter. mean          :             68.24            67.76            67.67            67.02
Iter. p95           :            102.73            98.80            96.07            94.47
Net read avg (bps)  :        3117260.00       3224692.00       3205412.00       3172772.00
Net write avg (bps) :       41455628.00      41863446.00      41904740.00      41056065.00
Peak threads        :                69               65               71               67
Throughput (RPS)    :            867.36           872.97           874.80           883.35
