timestamp,full-pprof:0.1Hz:startupDurationMs,full-pprof:1Hz:startupDurationMs,full-pprof:10Hz:startupDurationMs,full-pprof:0.1Hz:minHeapUsed,full-pprof:1Hz:minHeapUsed,full-pprof:10Hz:minHeapUsed,full-pprof:0.1Hz:maxHeapUsed,full-pprof:1Hz:maxHeapUsed,full-pprof:10Hz:maxHeapUsed,full-pprof:0.1Hz:totalAllocatedMB,full-pprof:1Hz:totalAllocatedMB,full-pprof:10Hz:totalAllocatedMB,full-pprof:0.1Hz:totalGCTime,full-pprof:1Hz:totalGCTime,full-pprof:10Hz:totalGCTime,full-pprof:0.1Hz:maxThreadContextSwitchRate,full-pprof:1Hz:maxThreadContextSwitchRate,full-pprof:10Hz:maxThreadContextSwitchRate,full-pprof:0.1Hz:iterationAvg,full-pprof:1Hz:iterationAvg,full-pprof:10Hz:iterationAvg,full-pprof:0.1Hz:iterationP95,full-pprof:1Hz:iterationP95,full-pprof:10Hz:iterationP95,full-pprof:0.1Hz:requestAvg,full-pprof:1Hz:requestAvg,full-pprof:10Hz:requestAvg,full-pprof:0.1Hz:requestP95,full-pprof:1Hz:requestP95,full-pprof:10Hz:requestP95,full-pprof:0.1Hz:netReadAvg,full-pprof:1Hz:netReadAvg,full-pprof:10Hz:netReadAvg,full-pprof:0.1Hz:netWriteAvg,full-pprof:1Hz:netWriteAvg,full-pprof:10Hz:netWriteAvg,full-pprof:0.1Hz:peakThreadCount,full-pprof:1Hz:peakThreadCount,full-pprof:10Hz:peakThreadCount,full-pprof:0.1Hz:averageCpuUser,full-pprof:1Hz:averageCpuUser,full-pprof:10Hz:averageCpuUser,full-pprof:0.1Hz:maxCpuUser,full-pprof:1Hz:maxCpuUser,full-pprof:10Hz:maxCpuUser,full-pprof:0.1Hz:averageCpuSystem,full-pprof:1Hz:averageCpuSystem,full-pprof:10Hz:averageCpuSystem,full-pprof:0.1Hz:maxCpuSystem,full-pprof:1Hz:maxCpuSystem,full-pprof:10Hz:maxCpuSystem,full-pprof:0.1Hz:averageMachineCpuTotal,full-pprof:1Hz:averageMachineCpuTotal,full-pprof:10Hz:averageMachineCpuTotal,full-pprof:0.1Hz:runDurationMs,full-pprof:1Hz:runDurationMs,full-pprof:10Hz:runDurationMs,full-pprof:0.1Hz:gcPauseMs,full-pprof:1Hz:gcPauseMs,full-pprof:10Hz:gcPauseMs,full-pprof:0.1Hz:throughputAvg,full-pprof:1Hz:throughputAvg,full-pprof:10Hz:throughputAvg
1652992333,30709,22762,23705,144927232,369173504,212469760,383966576,1009329152,644431360,21209.53369140625,26877.957389831543,34849.88966369629,493575970,239158451,443322750,21530.252,21420.906,22236.041,69.69933872435297,67.06489384223529,68.37463351976457,110.81869135000001,95.43690704999997,104.35889514999987,16.66968046364692,12.512701832529432,15.734697447882274,49.86365899999996,35.906039199999995,45.17776254999999,3276362,3225038,3335614,42714334,41902324,43519350,70,66,67,0.50625646,0.4731738,0.5039338,0.6010101,0.56962025,0.597254,0.09797109,0.100200176,0.10856836,0.13513513,0.14035088,0.14386792,0.899723,0.8543862,0.8978073,23393,24197,23596,523,239,443,848.6889896352455,880.5450041933962,865.2751560805824
1652992701,23670,23908,23802,249718256,147125248,157122048,1097892960,513283200,566619632,25323.667907714844,24007.9458694458,35970.43620300293,293578756,466722858,451583603,24041.36,21331.438,22323.074,68.14801621282375,68.49350339564701,68.7670682237646,104.31671854999996,101.60694944999996,104.90916854999998,15.275936639470585,13.780344130647018,16.122025799353015,44.934878849999905,40.1307172,46.20085049999997,3210846,3223628,3114467,41881544,41813452,40655316,69,70,68,0.48452035,0.50203305,0.482056,0.5955335,0.59322035,0.581864,0.099464186,0.10865296,0.10027922,0.14213198,0.1475,0.16377172,0.8850541,0.9033909,0.84034663,23214,23170,25460,293,494,482,866.1770936925088,863.5962448918089,860.677972693716
1652993068,24937,22737,22779,97227776,345197568,86159464,339913216,1051413504,486510576,22194.585174560547,27914.740898132324,36991.02428436279,549321509,210793278,330444431,21729.47,22153.195,28541.521,68.64743500023542,67.23446615329416,69.07768060635296,108.79634649999993,96.74409479999997,108.73972905,15.939297724941099,12.940623387235345,17.138399865705797,47.70362764999999,36.459686799999986,49.32230644999999,3067782,3209280,3176348,39729540,42029820,41378649,72,65,67,0.4791391,0.49872845,0.49595556,0.60545903,0.5792079,0.58208954,0.101157114,0.100842334,0.10867185,0.14683545,0.12871288,0.15404041,0.8723704,0.8979798,0.8874001,23494,23223,23305,549,210,429,860.235471672725,880.5534557843318,855.7348285534703
1652993441,23571,23004,22970,145918976,140871504,160751248,487181168,470044672,539287184,24364.306869506836,22683.193183898926,38973.13465881348,417026170,579828529,291122232,21849.227,21458.426,22377.271,69.36266180258818,68.10507154670596,68.86353237670588,109.14543559999998,105.03280554999998,105.95133474999996,15.940798452823625,15.486387049823547,16.60259774188235,48.364137549999995,44.18706909999994,47.92719904999999,3214628,3370904,3190518,41849332,43796982,41732387,70,70,73,0.49559125,0.48508763,0.4904949,0.5940171,0.59068626,0.65957445,0.1093781,0.10282023,0.10478441,0.1670823,0.1460396,0.14634146,0.91057736,0.8747891,0.8708797,23261,23198,23422,438,579,323,852.9493240358469,868.0988275161061,859.445323051101
1652993815,23766,22726,23840,80301024,141011960,131526656,343159616,579323320,440423264,28002.497047424316,23134.00478363037,34991.38676452637,467934773,383776745,741888912,25527.326,21724.479,22425.672,69.00892013505877,68.16758462188207,70.59460356423534,109.48594754999996,101.83521435,112.37153874999996,16.79206826070586,14.301704820058779,17.926121744117722,49.8447391,43.00916995,54.09518549999999,3239178,3165592,3184100,41813856,41302561,41316808,72,68,66,0.4850645,0.48331982,0.4864943,0.6202247,0.59045225,0.60143197,0.10685215,0.10106979,0.10183974,0.13519813,0.14393939,0.13965087,0.89267117,0.871863,0.8589255,23344,23175,24213,702,440,765,855.9538647778963,866.7128122819877,835.9068234442445
1652994177,23581,22758,23035,229120256,343928416,245002752,606686208,744611328,786088568,21799.676666259766,24729.896934509277,37424.43460083008,310896961,325594836,316695058,26385.752,22022.979,22592.984,67.31593112470573,67.3827975928235,67.31658595611744,96.74813359999996,97.9435455,99.09530074999996,13.722523707882305,13.457609654823521,14.905147831235233,38.895804049999995,38.881879749999996,42.17516149999999,3343444,3134211,3358762,43523460,40813897,43506514,70,68,69,0.47052073,0.486362,0.4753451,0.5753086,0.59351623,0.55979645,0.10366931,0.103622064,0.11262255,0.1575,0.15061729,0.15479116,0.87580067,0.88645643,0.87240714,23185,23300,23218,310,325,338,879.1266126857665,877.2363155310809,878.0319993437156
1652994541,23799,22735,22721,124731904,148827136,89315424,483344896,574507008,500380672,29000.068824768066,24398.01374053955,36474.2864151001,332621666,386455214,349790029,21304.682,21549.486,23416.643,67.70531503141157,68.34322254505904,68.64727957082353,99.34020079999998,100.7704649,106.92477724999998,14.419696631999983,13.796164710117619,17.68502228082366,41.34122919999999,39.69386084999999,49.08322689999999,3238441,3220707,3227828,42025560,41826040,42032604,68,69,67,0.48522717,0.5062153,0.48892814,0.60232556,0.6168224,0.5895522,0.10270433,0.10043189,0.107228726,0.14285715,0.14108911,0.145,0.8848408,0.89624673,0.8795849,23198,23427,23219,332,417,405,874.9890932480853,864.4100073826355,858.2429739597407
1652994907,23617,23729,24741,343655928,154312096,82168832,861128184,584726528,411658752,25333.238883972168,29854.997840881348,35122.68576049805,350666608,455294030,482360585,21208.396,25973.021,22273.582,68.29458167776448,67.30488969199989,71.95391985741199,104.50032904999989,96.21565139999998,124.02616019999999,15.029035721529327,13.569425501058795,22.23979116029395,42.83967834999998,39.524279650000004,61.68656315,3207286,3338602,3213214,41488102,43239888,41687308,69,69,68,0.48084056,0.4803788,0.51184773,0.6169154,0.63182896,0.6692112,0.10154159,0.104797445,0.10597948,0.14786968,0.1525,0.14646465,0.8816725,0.8766487,0.8950305,23284,23216,24547,350,494,658,863.7650272802935,878.9349327146444,822.767936020029
1652995282,24570,23795,23868,185329128,137170944,318388224,498662128,612147712,1119189416,21178.222358703613,30056.517959594727,37194.04153442383,392534570,1101387095,189520387,20800.379,21603.373,22087.865,68.42183345647055,67.29092559282363,68.02364002600024,107.99843054999995,97.67252875,101.41992034999996,15.702253654882494,13.072834494470587,15.396423886941214,45.26369395,38.76693844999999,43.70030389999999,3219014,3108585,2686084,41930368,40511787,35202725,69,68,67,0.4895818,0.48353854,0.41757825,0.6070529,0.61633664,0.5750636,0.1054317,0.09749917,0.0931131,0.14186047,0.14285715,0.14320987,0.8963482,0.8433559,0.7602092,23540,25521,26199,392,1184,189,859.7462952425341,877.4528154318998,868.2718105674336
1652995655,23534,22945,22811,113060336,85892608,84139312,392593920,410384744,455351608,25205.56494140625,23530.73875427246,39030.2755279541,522552482,390195746,501702180,24593.352,21594.746,21838.693,68.03189297517653,67.55735692235275,70.66975531776471,102.85148765,97.57114224999998,114.84379874999996,14.844992712882371,13.574700891882346,19.166544744058825,43.30207599999999,38.5985327,54.83543235,3226363,3302580,2933217,41836585,43025312,38001443,67,68,67,0.49056518,0.51271826,0.49309102,0.57843137,0.619403,0.61813843,0.105785124,0.09985895,0.10530401,0.14179105,0.1442786,0.1404762,0.8955297,0.90339655,0.86990446,23213,23578,24176,522,476,716,869.3769093299471,872.5113076981747,838.2708000802638
